x, y
0.012643505487907276, 33.19185265166475
0.01421674881699062, 35.65365113642776
0.01583034537148356, 38.37010715403199
0.017627058607286347, 41.00169015095946
0.019627695281015142, 43.37860279144204
0.020813048748016472, 45.07639020687038
0.022726676720790564, 47.11374664662765
0.02433587363204534, 48.896426318138225
0.026573403034296676, 50.50932788928614
0.028455057273212337, 52.20712171651629
0.030469860882036626, 53.90491554374644
0.03262737389489382, 55.3480390145317
0.03493765630891989, 57.13073150964591
0.03928498188048593, 59.16807512579955
0.043318299818731025, 61.29031740983724
0.047301143047022515, 62.98811764886922
0.0526697302627051, 64.94057542074243
0.05807723607541919, 66.89303319261565
0.06530413065054004, 68.76060512020847
0.07342998530420501, 70.54329761532267
0.08419702338844003, 72.15619277466878
0.09749073969233467, 74.27843505870646
0.11069874334956091, 76.14600698629927
0.12943565654396852, 77.92868986371076
0.1620606068103716, 79.96604630346802
0.2009350672226939, 81.57894466871502
0.24431199309535095, 83.10696360148344
0.294164666537941, 84.63497291654912
0.36118039565911053, 85.73854018660909
0.4566586314640485, 86.75721520058681
0.6003966558592823, 87.86077926474587
0.7816967783105466, 88.45500902781697
1.0378348411333018, 89.38879819751428
1.391434551402477, 89.8132434484209
1.865508878775378, 90.15279964914622
2.501104614142313, 90.32258095540978
3.193331254406034, 90.57724810595376
4.239687980120951, 90.66214036203598
5.574173594377376, 90.66214036203598
7.047699038073137, 90.91680430667905
9.922130869587287, 91.08658881884352
11.830545645430776, 91.17147786902486
14.525767203292915, 91.25637012510708
18.010151059536017, 91.42614501956884
22.54973935722633, 91.51103727565106
27.151008380633296, 91.25637012510708
34.66554863809592, 91.34125276348658
43.40312170211666, 91.08658881884352
51.24813931223539, 91.08658881884352
61.105165749745346, 91.17147786902486
74.29637384580175, 91.34125276348658
91.22248988995311, 91.59592632583238
109.83657970155772, 91.76570122029413
137.52127467822424, 92.10526703872218
172.18399408021136, 92.35993418926616
201.328222428979, 92.78437944017277
240.0525961466715, 93.12393884679898
294.740237401469, 93.88794991613365
