Image,Original Power,Optimized Power,Power Saved (%)
4.1.01.tiff,0.885606308986581,0.8765509205793689,1.0225072151500794
4.1.02.tiff,0.5563255685029074,0.5470541138896168,1.666551950549464
4.1.03.tiff,1.8298231909002254,1.7305873407458925,5.423248030073957
4.1.04.tiff,1.5853308824426224,1.5131559238006749,4.552674740729387
4.1.05.tiff,1.8194199267116073,1.7542865944269452,3.5798955111139814
4.1.06.tiff,1.7291402637841502,1.6591370841628545,4.048438468958941
4.1.07.tiff,2.080625636068071,2.0792247872047604,0.06732825160983302
4.1.08.tiff,1.9826469295054565,1.9811868573302445,0.07364257112466517
4.2.01.tiff,5.8809689947281685,6.016723660431499,-2.3083724098022564
4.2.03.tiff,6.640676209770246,6.476721923973191,2.468939617261167
4.2.05.tiff,8.932063468174599,8.614469137993783,3.555665847118313
4.2.06.tiff,6.440155265761345,6.3185730092201275,1.8878777222593006
4.2.07.tiff,5.85501105290811,5.848612745242846,0.10927917312958577
house.tiff,7.8003355041802145,7.75866096522607,0.5342659803775286
