Image,Optimized image,Distorsion,Distorsion (%)
4.1.01.tiff,optimized_4.1.01.tiff,97645.66817914163,0.39813604174260286
4.1.02.tiff,optimized_4.1.02.tiff,72530.2797718018,0.29573169023587287
4.1.03.tiff,optimized_4.1.03.tiff,1107952.4487726537,4.517515324736098
4.1.04.tiff,optimized_4.1.04.tiff,841186.5863439271,3.429816233522213
4.1.05.tiff,optimized_4.1.05.tiff,869250.1117771332,3.544241185920729
4.1.06.tiff,optimized_4.1.06.tiff,794297.6804372439,3.2386335241665924
4.1.07.tiff,optimized_4.1.07.tiff,22725.43198475961,0.09265965102213988
4.1.08.tiff,optimized_4.1.08.tiff,24229.831324948835,0.09879362101458515
4.2.01.tiff,optimized_4.2.01.tiff,3500831.7803320545,3.5685333866296602
4.2.03.tiff,optimized_4.2.03.tiff,1876885.6972750286,1.9131822646383623
4.2.05.tiff,optimized_4.2.05.tiff,3666060.9621155206,3.7369578893299513
4.2.06.tiff,optimized_4.2.06.tiff,1511347.938545997,1.5405754734675505
4.2.07.tiff,optimized_4.2.07.tiff,175989.7718371949,0.17939318879434932
house.tiff,optimized_house.tiff,480579.42583000095,0.48987321688419044
