Image,Optimized image,Distorsion,Distorsion (%)
4.1.01.tiff,optimized_4.1.01.tiff,934778.9016186986,3.811425317016436
4.1.02.tiff,optimized_4.1.02.tiff,569435.1154641494,2.321789047356503
4.1.03.tiff,optimized_4.1.03.tiff,2282149.8944511074,9.305135010936949
4.1.04.tiff,optimized_4.1.04.tiff,1985287.6595717478,8.094722328616053
4.1.05.tiff,optimized_4.1.05.tiff,2286057.8213510257,9.321069015756276
4.1.06.tiff,optimized_4.1.06.tiff,2230669.7326590954,9.095232121988122
4.1.07.tiff,optimized_4.1.07.tiff,2524722.172485666,10.294188272736383
4.1.08.tiff,optimized_4.1.08.tiff,2360731.557008297,9.625540336308623
4.2.01.tiff,optimized_4.2.01.tiff,6840346.5887258975,6.97263013753588
4.2.03.tiff,optimized_4.2.03.tiff,8031940.509934635,8.187267960189274
4.2.05.tiff,optimized_4.2.05.tiff,11851431.268660733,12.080622782038136
4.2.06.tiff,optimized_4.2.06.tiff,7867719.004899578,8.019870621416091
4.2.07.tiff,optimized_4.2.07.tiff,6522626.111843289,6.648765353246261
house.tiff,optimized_house.tiff,9665950.199454159,9.85287730591274
