Image; brightness_0.5_boost_1.0; brightness_0.5_boost_1.1; brightness_0.5_boost_1.2; brightness_0.5_boost_1.3; brightness_0.5_boost_1.4; brightness_0.6_boost_1.0; brightness_0.6_boost_1.1; brightness_0.6_boost_1.2; brightness_0.6_boost_1.3; brightness_0.6_boost_1.4; brightness_0.7_boost_1.0; brightness_0.7_boost_1.1; brightness_0.7_boost_1.2; brightness_0.7_boost_1.3; brightness_0.7_boost_1.4; brightness_0.8_boost_1.0; brightness_0.8_boost_1.1; brightness_0.8_boost_1.2; brightness_0.8_boost_1.3; brightness_0.8_boost_1.4; Histogram Equalization; CLAHE
images\BSR\BSDS500\test\104010.jpg; 7.235230773320704; 6.561914211651598; 5.885135839188279; 5.228803523303498; 4.582681660071197; 5.765597690974177; 4.974202844626392; 4.2015176187237735; 3.4561465304360786; 2.7360028967745618; 4.348408890877344; 3.4586902489278795; 2.623530599259407; 1.8487451521209408; 1.3003771543516807; 2.9745157680729792; 2.0588023589362083; 1.3026414492309162; 1.2374593989490017; 1.8832126437591756; 3.781481949513707; 1.7709416981598527
images\BSR\BSDS500\test\104055.jpg; 6.102739047830983; 5.889380450057151; 5.6729658737161435; 5.4583806707943925; 5.249904219386408; 4.86059076472905; 4.605538564751336; 4.353831563474651; 4.110865898044692; 3.87263665145824; 3.6513792948337973; 3.363917307750903; 3.086954413613984; 2.8289692464752068; 2.635661583736503; 2.4600900238479477; 2.1588321557533434; 1.9009072505074898; 1.8717211561192943; 2.0868262551247425; 2.7398799470236987; 1.446627344398616
images\BSR\BSDS500\test\105027.jpg; 7.713973545498304; 6.922241943565462; 6.12898587576969; 5.342962333006426; 4.57762660320951; 6.12898611920053; 5.188206060627198; 4.269838715249424; 3.373431017557428; 2.4812295763911534; 4.5776253188280815; 3.5180873470647183; 2.4818874468195906; 1.500109227475597; 0.7085189111340693; 3.0614912748498533; 1.91421292943056; 0.8912257352386606; 0.8227300439503235; 1.7757870469927144; 4.655991506410632; 2.0125697305853385
images\BSR\BSDS500\test\106005.jpg; 6.794384008863162; 6.4116600330609845; 6.026759666946364; 5.642448017119812; 5.269383795799942; 5.402599984645775; 4.945112302111764; 4.49731655491569; 4.056403812586408; 3.625849616099772; 4.033759274134945; 3.517173289516831; 3.0138607441982; 2.5323814520239774; 2.143230967520901; 2.6888164279987588; 2.1335683316781275; 1.625802646494579; 1.550741844083691; 1.9494088749913472; 1.7293122608046547; 1.872628226172298
images\BSR\BSDS500\test\106047.jpg; 6.170942261216039; 5.793968168642762; 5.413666161887398; 5.038392090543123; 4.675024651554703; 4.913073311772352; 4.4665363435194685; 4.029565652253874; 3.5989799207278113; 3.1775375370328636; 3.6794040415163107; 3.175078088038109; 2.6837953731224538; 2.214137300477266; 1.839809407440439; 2.469149702601756; 1.922812040226744; 1.4342452118556976; 1.3642395135956946; 1.7801760133893958; 3.7450537419478653; 1.611472580990292
images\BSR\BSDS500\test\107014.jpg; 8.44385934616691; 7.563157810200094; 6.702141920337697; 5.852348348493581; 5.01153247388112; 6.6993752176051276; 5.6772666916072545; 4.67603860092851; 3.695563928918329; 2.7269323476114233; 5.005877898571385; 3.8477248985288712; 2.725293035856292; 1.6642016384234903; 0.8403287478963364; 3.35050951388916; 2.107522182640305; 1.011731500737028; 0.9349599910132735; 1.8583631242155754; 4.2505128497440925; 1.1174953130035423
images\BSR\BSDS500\test\107045.jpg; 7.135537908522455; 6.502153944960748; 5.871308541553877; 5.251623514703821; 4.648182660994656; 5.67993778705479; 4.939620681280476; 4.21114739245448; 3.50913697387892; 2.823802449297467; 4.259836939829854; 3.424184870931022; 2.6277554106433536; 1.8992357687281216; 1.3871062098061795; 2.8826942994281484; 2.00796546848631; 1.2985753670708855; 1.2388079427025613; 1.8596909607642602; 3.3829117712488372; 2.956345406604968
images\BSR\BSDS500\test\107072.jpg; 8.42384642851384; 7.555764615713876; 6.693316677044411; 5.848734828566056; 5.007662544321562; 6.693313722627246; 5.684180462566121; 4.684108598945047; 3.7129859338695392; 2.7673248836933886; 5.007665195359032; 3.8671272744734226; 2.768812311688038; 1.731339376053256; 0.9654624679611685; 3.3792030297908635; 2.1580053376385404; 1.1219618116358658; 1.0140480779641103; 1.727180985815114; 4.389344678395874; 1.5244339958593918
images\BSR\BSDS500\test\108004.jpg; 7.345556965921235; 6.594029541543592; 5.847670165664092; 5.114894325729104; 4.407719746241973; 5.847670165664092; 4.975016799374248; 4.128310919827783; 3.3125573012332445; 2.5169363493718953; 4.407719746241973; 3.433003511178246; 2.517921104233616; 1.6950925638513779; 1.168554879590931; 3.023561986161205; 2.028798303931932; 1.268148494118832; 1.2073665206026927; 1.8229041353327924; 3.916430138984256; 2.0324491882386946
images\BSR\BSDS500\test\108036.jpg; 5.6024981096968895; 5.051383403328126; 4.488928328322104; 3.9473946417368655; 3.4104517683481252; 4.46937383300861; 3.8211843141231565; 3.1765089408110505; 2.5546923865166704; 1.9522530368090885; 3.3716588351322865; 2.6396729365460025; 1.936063399097721; 1.3048593484468496; 0.8745376724197981; 2.302237231246029; 1.5431297520940055; 0.9408936230764239; 0.866470971415655; 1.3260407279367177; 3.907747239008377; 2.1752736691991075
