Image; Original Power; brightness_0.5_boost_1.0; brightness_0.5_boost_1.1; brightness_0.5_boost_1.2; brightness_0.5_boost_1.3; brightness_0.5_boost_1.4; brightness_0.6_boost_1.0; brightness_0.6_boost_1.1; brightness_0.6_boost_1.2; brightness_0.6_boost_1.3; brightness_0.6_boost_1.4; brightness_0.7_boost_1.0; brightness_0.7_boost_1.1; brightness_0.7_boost_1.2; brightness_0.7_boost_1.3; brightness_0.7_boost_1.4; brightness_0.8_boost_1.0; brightness_0.8_boost_1.1; brightness_0.8_boost_1.2; brightness_0.8_boost_1.3; brightness_0.8_boost_1.4; Histogram Equalization; CLAHE
images\BSR\BSDS500\test\104010.jpg; 3.6163777444463867; 2.101412264225499; 2.2459989843105728; 2.390198240047046; 2.5320292706764382; 2.670739337919164; 2.419537755522958; 2.5890427412558554; 2.7552784563633606; 2.9184613940837356; 3.0788018716006476; 2.7285551048389336; 2.919978284774329; 3.1070939725463687; 3.2911226472566932; 3.471623906910983; 3.0307191539810927; 3.2410559121535756; 3.44869977271822; 3.649603725941205; 3.8396027431278306; 3.137869332242309; 3.316950835707112
images\BSR\BSDS500\test\104055.jpg; 3.2217314125691963; 1.8704755530946091; 1.9201931241223935; 1.970197812800301; 2.019352953555483; 2.067405211061532; 2.153429501212094; 2.2121139595300687; 2.2697837586375127; 2.3263416004069644; 2.381919507130775; 2.428718181755384; 2.4950483985768406; 2.55991611770255; 2.6236712490019762; 2.686138030419886; 2.6981365833316513; 2.7709759923617723; 2.842941510301705; 2.9127407039169846; 2.978584215486937; 3.2005128255381163; 2.9259060594977666
images\BSR\BSDS500\test\105027.jpg; 4.170258519232493; 2.4262131933048483; 2.609743692716926; 2.7931307075470286; 2.973026333173373; 3.1492837263569498; 2.793132468416778; 3.0083716464335333; 3.219195572114499; 3.426596630863524; 3.6301877383680496; 3.149287183151554; 3.3923619410583554; 3.6300511042526304; 3.863742255044907; 4.093433229788845; 3.497131379790477; 3.7646195033877414; 4.028387734945129; 4.287018359970113; 4.53915574504776; 3.401548575465576; 3.7388914616394797
images\BSR\BSDS500\test\106005.jpg; 3.7569616392298917; 2.1847782817201917; 2.274991325302979; 2.36625121370068; 2.455725949713949; 2.5432548958274777; 2.51430939152128; 2.62149044431184; 2.7263007121149374; 2.829417850192823; 2.9309144280953325; 2.835099029412096; 2.9563060468370206; 3.0745671269900563; 3.191032875428451; 3.3051519566444103; 3.14905791651471; 3.2816620204891063; 3.4128661765346826; 3.536534130421569; 3.6490238711953693; 3.6912997600839765; 3.3352925565193496
images\BSR\BSDS500\test\106047.jpg; 3.432913245562855; 1.9947870578909153; 2.084515215677418; 2.17456809624725; 2.263238781829473; 2.349873711019739; 2.295880218908669; 2.401848292345231; 2.505700158384678; 2.607715223149152; 2.707891532280163; 2.589231524651157; 2.7089290582394465; 2.8258056878786757; 2.940809928861611; 3.053629819014991; 2.8763375814667165; 3.0075747309515015; 3.137370561167478; 3.263389758268244; 3.3844737208099978; 3.7046602928239323; 3.083000941623918
images\BSR\BSDS500\test\107014.jpg; 3.895318570239577; 2.264725311706173; 2.436048826912097; 2.60678228789048; 2.7746197354613282; 2.939012538939387; 2.6074858920749624; 2.808283976060415; 3.0049368357172126; 3.1981320557340056; 3.387974419336974; 2.940400298520559; 3.1669251495346296; 3.388506767086521; 3.606298704825175; 3.8203769354672192; 3.2654571220698547; 3.5146794025339947; 3.7604336909710843; 3.9983757838491356; 4.215639558618239; 3.1216324453664437; 3.7466945023895692
images\BSR\BSDS500\test\107045.jpg; 3.86661039445785; 2.2481387444096566; 2.394680959200953; 2.5409423733431256; 2.6847410022175646; 2.825381413706038; 2.588186745560699; 2.760099619103183; 2.928587776447798; 3.0940895103792743; 3.2566675010085326; 2.9186429425408544; 3.1127723200812074; 3.302492051517717; 3.489112979743334; 3.672318825749409; 3.2414682241742994; 3.4547723558287484; 3.6653881647274558; 3.87002803958889; 4.064893254899048; 3.365138586661447; 3.2277880573313618
images\BSR\BSDS500\test\107072.jpg; 4.189923720323879; 2.4372798036109438; 2.6221077020590706; 2.8063575580920666; 2.9868513607624725; 3.164147348677615; 2.806359600586521; 3.022481141187921; 3.2343699827139085; 3.4425495732841993; 3.6473434487988525; 3.1641513481445336; 3.4084040385112355; 3.6472100793636333; 3.8821079483419196; 4.112241392754547; 3.5137639147046396; 3.782365310378848; 4.047209323998653; 4.292997997725132; 4.492679441157383; 3.2879695030190055; 3.951782948311128
images\BSR\BSDS500\test\108004.jpg; 3.279977940976236; 1.9044496606824088; 2.048627471557631; 2.192672776232199; 2.334406546131435; 2.473023471470614; 2.192672776232199; 2.361970920012036; 2.5281350718568945; 2.691214374513971; 2.8513591572048202; 2.473023471470614; 2.6642406016202784; 2.851187908636315; 3.03507494174654; 3.2152686343156547; 2.7474036450232853; 2.957332719302164; 3.164818179000387; 3.3645032511143786; 3.5482502490492; 3.2387930707456984; 2.9688481374643745
images\BSR\BSDS500\test\108036.jpg; 3.0029545067750916; 1.7436153984661835; 1.8715153629985488; 2.0012192867883813; 2.1282971580155468; 2.2527375710708495; 2.0060741299751874; 2.158105993181386; 2.30731664275787; 2.4537228404728095; 2.5978860186340267; 2.2623182193261138; 2.4342796347027242; 2.6023540209484524; 2.767715745225656; 2.92965240452; 2.5141588658455647; 2.702429843713491; 2.888884337323729; 3.0649645660348237; 3.2251116540697082; 3.579997091349493; 2.55364939900165
images\BSR\BSDS500\test\108069.jpg; 2.9817531260827144; 1.7309377224647413; 1.859763499918956; 1.990248047031555; 2.117904194585189; 2.2430246525811293; 1.9918391498960308; 2.1447332045232415; 2.2946159221888185; 2.4417116540196986; 2.586877702817461; 2.2461631018239214; 2.4190745920233554; 2.588127230177058; 2.754395273063444; 2.917603097996885; 2.4963051251632282; 2.6855446397280223; 2.8728035906581324; 3.0472139276768138; 3.2020573667357226; 3.3344446233986362; 2.542767862363014
images\BSR\BSDS500\test\109055.jpg; 2.685430432140929; 1.5578417193613308; 1.6657554220883792; 1.775354911762944; 1.8829358421227158; 1.9881549820457918; 1.791871283766644; 1.9203048379440244; 2.046770172851319; 2.170621673305147; 2.292465972647295; 2.0210770310720645; 2.166428886570123; 2.3085577464990954; 2.4483498225319247; 2.5848104213522958; 2.246726468278796; 2.4058556745442887; 2.5634980140819; 2.7142536888490403; 2.855087825575546; 3.535842717124539; 2.2624628440037546
images\BSR\BSDS500\test\112056.jpg; 3.715595675550114; 2.1599865207934323; 2.300660369791961; 2.4408996135539183; 2.579568828205806; 2.7145999953571742; 2.486264383584364; 2.652141873515006; 2.8137739795246186; 2.972834242173256; 3.1290322894590066; 2.8039976273369307; 2.9907963287287185; 3.1729835616810385; 3.352537515060544; 3.529153405804674; 3.1143815425931285; 3.3193473072159048; 3.5217860113782447; 3.720634373871973; 3.915603393033389; 3.549600977899939; 3.348710083578691
images\BSR\BSDS500\test\112090.jpg; 4.3275710896406725; 2.51825177023448; 2.7053652222733633; 2.892053623353301; 3.0755241502677158; 3.2551488468474066; 2.8988743212209434; 3.1183168859422032; 3.3332948624518504; 3.5445476594426504; 3.751991303065963; 3.2686128569070885; 3.516311658552985; 3.7584765067743713; 3.9966023324888855; 4.230446101536213; 3.6294719822875656; 3.902139407945305; 4.1709951997526105; 4.431957077263201; 4.672502031065767; 3.518994447045691; 4.034031100167331
images\BSR\BSDS500\test\117025.jpg; 3.7815966236066805; 2.1992359758401974; 2.3465602530207605; 2.495343096756464; 2.6411995072068453; 2.7839531023629616; 2.530628580975839; 2.7048596144771646; 2.876117194414254; 3.0441774695878965; 3.2092896079776603; 2.8535003180864704; 3.0505984571671507; 3.24335546318227; 3.4327336551934566; 3.618507155851981; 3.1694080226099266; 3.3860943760806097; 3.5999115089963443; 3.809719919791143; 4.012100852882698; 3.7002173056462793; 3.695357617748616
images\BSR\BSDS500\test\118015.jpg; 3.1907696521686346; 1.8523451338167964; 1.9220706615396148; 1.9924365855315143; 2.0612208385803847; 2.1287359182758725; 2.1324133325209913; 2.214612823934377; 2.295564770985169; 2.374987633910155; 2.4530408414364286; 2.404744154073863; 2.4979824011649714; 2.588966845530371; 2.6786419067649763; 2.766072949516019; 2.671755055013289; 2.773972197479206; 2.8749568273050965; 2.9704228223177336; 3.0543426328897616; 3.2102080542283544; 3.1444055474624713
images\BSR\BSDS500\test\118031.jpg; 3.8764641442526653; 2.2538966905583284; 2.3641089694013293; 2.474514106717426; 2.582510654579785; 2.688590654090976; 2.5950622687484137; 2.7243359117803454; 2.851290025013576; 2.9759494250661183; 3.098671095395972; 2.9259335799242185; 3.0722828810750684; 3.215316928445299; 3.356050379710166; 3.493465704885832; 3.2497081757813335; 3.4103152968825237; 3.5688710158394508; 3.714830284059412; 3.8431240738852366; 3.4293033564123894; 3.786647506864668
images\BSR\BSDS500\test\118072.jpg; 2.6240389133493607; 1.521389329255413; 1.6341065694478218; 1.7495108032379398; 1.8624283504754036; 1.9720786380164925; 1.7501704203604829; 1.884206688864066; 2.0168207873096353; 2.147466570506347; 2.2747491338813135; 1.9734319214961806; 2.1263878478270133; 2.2751562093769917; 2.423160265055596; 2.565302297144067; 2.194491198704621; 2.3604469831807293; 2.5278252502851575; 2.688035621859696; 2.848827939697692; 3.258775979063116; 2.579983972112622
images\BSR\BSDS500\test\120003.jpg; 4.287554757290379; 2.4953246012014194; 2.652577750807155; 2.8119473216457727; 2.967251965936722; 3.11937321811251; 2.871798986538374; 3.0566945815241797; 3.2397776358530073; 3.418799460916054; 3.594863726262431; 3.237314762838054; 3.447627765680691; 3.6528522328832715; 3.8548091459552145; 4.052374033674868; 3.595315010785094; 3.826743706782827; 4.054806074423041; 4.265246579572908; 4.430037043750083; 3.759243543341179; 4.250068532651384
images\BSR\BSDS500\test\120093.jpg; 3.4660360046111256; 2.013673734273765; 2.1093893293024206; 2.205443923602067; 2.2996274756387334; 2.3920195894551597; 2.317930917160544; 2.430717203732334; 2.5412046364981586; 2.6497580298194827; 2.7565115959730417; 2.61395014113669; 2.7413538211552884; 2.865848280727322; 2.9883815515718424; 3.108683367063617; 2.9037836189982587; 3.04378451707186; 3.181930004829031; 3.3099483885784813; 3.4033075318242276; 3.3876571126518518; 3.4209521154912337
images\BSR\BSDS500\test\123057.jpg; 3.549350469075503; 2.062950985452198; 2.217162536416845; 2.3716656041359263; 2.5237150477172565; 2.6722404253972485; 2.3743319715175453; 2.556072708891375; 2.7341274411072405; 2.9090374122081104; 3.0807834949795816; 2.677550320632108; 2.8827039449906544; 3.0832094573966673; 3.2803417535849273; 3.4741417817664724; 2.9742586685789116; 3.199610228397516; 3.4221950271829202; 3.6401318963371065; 3.850716776022102; 3.4387966832970416; 3.20546840525359
images\BSR\BSDS500\test\128035.jpg; 3.4152257591546915; 1.982929485942399; 2.132673175584802; 2.2823883688769833; 2.4290052022044155; 2.572988344661209; 2.2833950729022803; 2.458700759355024; 2.631208680894267; 2.800442408383939; 2.9668314009682146; 2.574980653184524; 2.7736897696602467; 2.967609222673877; 3.1586826021658063; 3.3447446086589854; 2.8604252566254926; 3.0784802216906266; 3.2931387960935044; 3.4883192719105214; 3.6360475656912548; 2.8914047586025373; 3.1641732037051673
images\BSR\BSDS500\test\130014.jpg; 3.850549678911957; 2.2388438485480324; 2.3821412650076534; 2.5252070262148303; 2.6659786932173093; 2.8036229261430616; 2.5774872948838254; 2.745656609245365; 2.9105629179783343; 3.072555267321085; 3.231564890397553; 2.906532919027115; 3.0965696028098733; 3.2820567038179247; 3.4647736892693173; 3.6436286666604705; 3.228006765786345; 3.4366777344022785; 3.64268580436695; 3.8434505539995407; 4.037201316160605; 3.561185535784386; 3.2051392659956854
images\BSR\BSDS500\test\130066.jpg; 3.7473595951449554; 2.178958772321229; 2.3235843993179355; 2.4684382936060176; 2.610672309398312; 2.749860773129081; 2.5079194005370047; 2.678003302836949; 2.8447038160807265; 3.0085495033308494; 3.16944300555111; 2.827954289133151; 3.020067846298059; 3.2078625953094764; 3.3925607843826757; 3.573978370816088; 3.1409555706974714; 3.352201005155918; 3.5607371671893797; 3.764588082769869; 3.9613603161366457; 3.5411499237289528; 3.4267915703976906
images\BSR\BSDS500\test\134049.jpg; 3.13525538109935; 1.8204153446625522; 1.8957313341763695; 1.9726267007009934; 2.0481150195448157; 2.121796686629186; 2.094832682747131; 2.185084490833205; 2.2735897204256412; 2.3605089167290103; 2.445915084428005; 2.362544473439811; 2.4647525195487985; 2.5642115123737796; 2.662516365094914; 2.7588550605179916; 2.625144714282868; 2.7365638330879327; 2.847304900183494; 2.9553752143311076; 3.060372128446486; 3.3859124055500374; 2.9149488879189294
images\BSR\BSDS500\test\134067.jpg; 3.5227554339760427; 2.047016378124449; 2.192442996716115; 2.338556043116482; 2.4810803648747823; 2.6214916377768196; 2.356547690954629; 2.5274389772979826; 2.6951256311946286; 2.859968229019648; 3.0227243500540637; 2.6568951455216117; 2.8505906410446373; 3.0398643150064153; 3.2262621382565633; 3.4075504900758626; 2.9519208998013613; 3.163983214126591; 3.3732500234868152; 3.555417065635951; 3.697845518134433; 3.561337454316295; 3.1606039443784026
images\BSR\BSDS500\test\140006.jpg; 3.939335661924739; 2.290972910943054; 2.4582805023026357; 2.6261341798623543; 2.7911472978886547; 2.9520883311411508; 2.6367659750481107; 2.83388341735665; 3.027103786931093; 3.2170702296966223; 3.4037263661779353; 2.973049967117618; 3.1959642822644203; 3.4138670162832723; 3.6273572333714963; 3.8373895419924096; 3.3021561827231487; 3.5469683666314538; 3.788121191086999; 4.023749409582419; 4.247123212572264; 3.548885795637322; 3.8761078578855015
images\BSR\BSDS500\test\140088.jpg; 2.925247474078135; 1.6972105017860792; 1.8218727466475146; 1.9500910362568558; 2.074449639408294; 2.196804685000151; 1.9526639714227385; 2.1005453101894482; 2.2485054408280174; 2.3928447000778297; 2.5338633526717405; 2.201885844657965; 2.3709228386153764; 2.53605738370356; 2.6995536266010407; 2.85541024999928; 2.4476550402472386; 2.6321941771303683; 2.814676969047363; 2.9945264469640547; 3.163310807438168; 3.4038395300911537; 2.8300412545889833
images\BSR\BSDS500\test\14085.jpg; 3.1551276135345963; 1.8315822369498163; 1.9675956403344546; 2.1048496521180073; 2.2389398443075605; 2.37011208971862; 2.10828455412194; 2.2683037745817467; 2.426202690717715; 2.5812489389338142; 2.7339022487027216; 2.3769343065297326; 2.5591571163754225; 2.737070604830899; 2.911862535256398; 3.081962698239803; 2.641363664461416; 2.8404363905154817; 3.0376147678860046; 3.231831637205767; 3.4215372310466066; 3.096926837815241; 3.106857876422102
images\BSR\BSDS500\test\14092.jpg; 3.835925883600218; 2.2302589959461527; 2.397413803361008; 2.5648214662963538; 2.728692360886715; 2.8895453980650707; 2.5675977293056516; 2.7637433992119025; 2.9562248781142397; 3.1452292026064956; 3.3311870161513446; 2.8950399228591723; 3.1168842658719833; 3.3337018218766405; 3.5470604841115363; 3.755944713699003; 3.215532923522841; 3.459210640648493; 3.699604163573275; 3.927202723651674; 4.127276740547451; 3.456561892177922; 3.7940286419459737
images\BSR\BSDS500\test\141012.jpg; 2.989289372163468; 1.7350589933525165; 1.864593389971349; 1.9970064772955587; 2.1246723725593686; 2.251114723998897; 1.9970779346960563; 2.149378440268311; 2.3017415661872835; 2.4504129793942333; 2.5969918447480502; 2.2512590343588554; 2.426262780991251; 2.5968375161619393; 2.7635454982339; 2.926851153615619; 2.501871975863385; 2.6925649148208772; 2.881641189829824; 3.0672562809952115; 3.2455238457481097; 3.1172409701437127; 2.9395150214285257
images\BSR\BSDS500\test\141048.jpg; 2.523288189672092; 1.4622675695606; 1.5634341556715172; 1.6669256201909872; 1.7679843814394391; 1.8671510683932402; 1.6821433236161267; 1.802375753630019; 1.9220247941348225; 2.038946025885739; 2.153680194985399; 1.8972885806661972; 2.0346902852430624; 2.1683538409627157; 2.2998823141711138; 2.4278298441954282; 2.10946594429513; 2.2590528312686233; 2.407506481321173; 2.5540830986388388; 2.696972539902651; 3.5040924643121985; 2.855928168677152
images\BSR\BSDS500\test\145059.jpg; 3.7390872350929647; 2.173056069385857; 2.336444995657119; 2.50014103392703; 2.6594606921291275; 2.816832611788597; 2.5023159953094463; 2.693386995482733; 2.881318783680357; 3.065722401566128; 3.247716775136958; 2.8211215214288297; 3.037832254904884; 3.2495960893109; 3.4581686462119476; 3.661103179578898; 3.1337251180025967; 3.371475841159847; 3.6056883346429913; 3.8110729973771322; 3.961748589091751; 3.1552329110604984; 3.6339085552018484
images\BSR\BSDS500\test\145079.jpg; 2.573682101022933; 1.4907382555761766; 1.6020682860838016; 1.7153933396376837; 1.8263567562252594; 1.9348959655003748; 1.715414243003981; 1.8472393485251968; 1.9784549700547274; 2.106676205903169; 2.232344111370857; 1.9349385323950936; 2.0854312357020057; 2.232107543861177; 2.3771255488336496; 2.515843028081249; 2.1514621746958267; 2.314973626519338; 2.477610239669632; 2.635794503801965; 2.782232303027145; 3.2178362047712703; 2.5129648676538663
images\BSR\BSDS500\test\146074.jpg; 4.037780848054891; 2.349007968124205; 2.5217102714516644; 2.69533901256265; 2.865046252959321; 3.0317992941663676; 2.70365458171152; 2.906015450137521; 3.1061991929867885; 3.302425037833704; 3.4948590520352654; 3.048213090492674; 3.277988678002492; 3.502805542726291; 3.723897265756946; 3.938663697655939; 3.385267281282185; 3.637826097921221; 3.887385926780393; 4.1289135247391755; 4.351982631734287; 3.676776242118454; 3.997949469223669
images\BSR\BSDS500\test\147077.jpg; 2.823370386077745; 1.6369717780138973; 1.753535864353751; 1.871469234752489; 1.9868457150211287; 2.09973560563718; 1.884142610789631; 2.021580835782565; 2.157496533800687; 2.290536176815513; 2.421171285728116; 2.1249645183679817; 2.281304176519693; 2.433465194173175; 2.583692104734425; 2.730022423348719; 2.3617545531897663; 2.5328522955891124; 2.7022698995140297; 2.866521152621135; 3.021713338969533; 3.052087917355851; 2.772613133450962
images\BSR\BSDS500\test\147080.jpg; 4.215501460009118; 2.4521015064626677; 2.548664336005633; 2.6453696189496294; 2.7396151776081044; 2.832544731972574; 2.8232948732783996; 2.936156555494537; 3.0472093641551874; 3.156219096128374; 3.2635490702452996; 3.1829821620534284; 3.3110112421941293; 3.4359746380831364; 3.5591001513323204; 3.6792064379280696; 3.534645320339542; 3.675263146697782; 3.813856360448254; 3.941883364457769; 4.042973921406275; 3.376041881859008; 4.184449012933122
images\BSR\BSDS500\test\15011.jpg; 3.3051340062009613; 1.9194609552038748; 2.062302476664882; 2.206316772889809; 2.3472388533819233; 2.4852590738706057; 2.2092924292295955; 2.3776130439741587; 2.5433377182359886; 2.706113874175361; 2.865986424002855; 2.491167268893532; 2.6821878515831834; 2.8686842044368466; 3.052310522099983; 3.231276971399644; 2.767833143354199; 2.9770652882494733; 3.1838979488353503; 3.3788183880799547; 3.5498166685969195; 3.3048515316910105; 3.2687672624771413
images\BSR\BSDS500\test\15062.jpg; 3.5319589224619357; 2.0520634720765423; 2.1952146462075883; 2.339212523656571; 2.4799493043277296; 2.6181826942133966; 2.362182959117175; 2.5304097033380724; 2.6960292370722323; 2.858551284623485; 3.0182041637623134; 2.6636518689007387; 2.8543202588572423; 3.0405329796290856; 3.224058306331433; 3.4030304326196648; 2.9589021866107994; 3.1681739418579316; 3.3747754907974707; 3.570279868606268; 3.736070391396148; 3.289821854183109; 3.4363611210724683
images\BSR\BSDS500\test\156054.jpg; 2.8671719362282184; 1.660778337213092; 1.7285214355702356; 1.7965708705992245; 1.8633630968260546; 1.9287227829711413; 1.9136637102046505; 1.9935034395857518; 2.0718233703672824; 2.1487863783941026; 2.224345590251693; 2.1582329953037402; 2.248511977102008; 2.3366542006054973; 2.4234578455435862; 2.508577871139609; 2.397570896066214; 2.4966270277699945; 2.5945716163905046; 2.690486159957301; 2.7832866521070385; 2.741396599726261; 2.75567966142751
images\BSR\BSDS500\test\157032.jpg; 3.8646119917652197; 2.246851241767269; 2.3188228068953642; 2.3908620183943152; 2.4616070197724813; 2.530762088732838; 2.5867628694007605; 2.6713771645290536; 2.75428458185794; 2.835723889350777; 2.9159497943254573; 2.916889750817031; 3.01252886346482; 3.106039750621348; 3.1979858365268496; 3.288151391192665; 3.2395310068932344; 3.344516932259207; 3.4481664860985948; 3.5460072576349346; 3.633934901771501; 3.2653251492834507; 3.506423090174727
images\BSR\BSDS500\test\157087.jpg; 4.602196084327106; 2.677969415623898; 2.810679636361514; 2.94239049543497; 3.068758981615829; 3.1954888907019963; 3.0853255357629705; 3.237987474595025; 3.388013009461941; 3.5355469614124084; 3.683009289107351; 3.4769169934858386; 3.6509794904042416; 3.8214331221078117; 3.988978660443609; 4.149474253468994; 3.8617202551543715; 4.051963573418798; 4.23905057272568; 4.384222642663295; 4.474808419709639; 3.6310078961463397; 4.1259008783703415
images\BSR\BSDS500\test\159002.jpg; 2.492669511762045; 1.4438217037229404; 1.5501612984617792; 1.6604737677290868; 1.7659500070767542; 1.869127474781541; 1.6612990283641402; 1.7862575454232141; 1.912935800530413; 2.0367624576464043; 2.160054534972043; 1.8709615801237267; 2.0177230078110693; 2.160871755173139; 2.3004492597263706; 2.431061359650793; 2.082218301141298; 2.23895808843531; 2.396381794140512; 2.5484583578919557; 2.679344619764205; 3.2205577075624845; 2.397991275424918
images\BSR\BSDS500\test\159022.jpg; 1.9817548676532148; 1.1448676857537154; 1.229243733793121; 1.3166431669545058; 1.4020359434904026; 1.4854940860896315; 1.316699533522262; 1.4184714342877554; 1.5191860627001301; 1.6178051432950322; 1.714732820699699; 1.4856178815335728; 1.6016394679593784; 1.7143885669410919; 1.826070810945865; 1.9342292320110932; 1.6531341590453412; 1.7790826225179752; 1.904025889776883; 2.028094677841932; 2.1477317226847714; 3.1211652702244654; 1.936346713197267
images\BSR\BSDS500\test\160006.jpg; 3.7182890893894003; 2.1614204848138954; 2.32383112124038; 2.486095182626003; 2.6450787811760295; 2.8010136607935765; 2.4885087476118133; 2.678921778924785; 2.865517199300768; 3.048706471592057; 3.229436294797024; 2.805779283596359; 3.0210251350626316; 3.231550086179287; 3.4384633051962266; 3.6411261714700363; 3.1167994777180765; 3.353036333186425; 3.5859649264042033; 3.798592262445192; 3.9783359836038623; 3.5970433593892817; 3.384395348278486
